procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 255936  15992 474312    0    0     0     0 5333 1881  1 30 69  0  0  0
 0  0      0 256320  15992 474324    0    0     0     0 4577 1638  1 21 78  0  0  0
 0  0      0 256352  15992 474336    0    0     0     0 4997 1826  1 24 75  0  0  0
 0  0      0 256032  15992 474348    0    0     0     0 5409 1981  1 24 74  1  0  0
 0  0      0 256544  16000 474356    0    0     0    16 5227 1821  1 26 73  0  0  0
 3  0      0 256704  16000 474368    0    0     0     0 5113 1810  1 24 75  0  0  0
 4  0      0 255052  16000 474376    0    0     0     0 4930 1813  1 24 75  0  0  0
 0  0      0 255116  16000 474388    0    0     0     0 4850 1769  0 26 74  0  0  0
 0  0      0 255564  16000 474400    0    0     0     0 5100 1976  1 24 75  0  0  0
 0  0      0 255564  16008 474412    0    0     0    44 4945 1771  1 23 76  0  0  0
 0  0      0 256024  16008 474420    0    0     0     0 5274 1871  0 26 74  0  0  0
 0  0      0 256152  16008 474432    0    0     0     0 5008 1810  1 21 78  0  0  0
 0  0      0 256504  16008 474444    0    0     0     0 5188 1792  1 24 75  0  0  0
 0  0      0 257112  16008 474456    0    0     0     0 5334 1901  1 26 73  0  0  0
 0  0      0 256728  16016 474464    0    0     0    16 4837 1732  1 22 76  1  0  0
 5  0      0 257432  16016 474476    0    0     0     0 5038 1790  1 23 76  0  0  0
 0  0      0 258144  16016 474488    0    0     0     0 5000 1841  1 19 80  0  0  0
 0  0      0 256428  16016 474496    0    0     0     0 4723 1721  1 22 77  0  0  0
 0  0      0 256460  16016 474508    0    0     0     0 5401 2029  0 26 74  0  0  0
 0  0      0 256812  16024 474520    0    0     0    16 4888 1759  1 23 75  1  0  0
 0  0      0 256492  16024 474532    0    0     0   336 5330 1854  1 23 76  0  0  0
 0  0      0 256780  16024 474540    0    0     0     4 5136 1743  1 27 72  0  0  0
 1  0      0 257280  16024 474552    0    0     0     0 4998 1774  1 24 75  0  0  0
 0  0      0 256980  16024 474564    0    0     0     4 5614 1927  1 25 74  0  0  0
 0  0      0 257748  16032 474576    0    0     0    28 5238 1870  1 27 72  0  0  0
 1  0      0 256468  16032 474584    0    0     0     0 4768 1808  1 21 78  0  0  0
 0  0      0 256756  16032 474596    0    0     0     0 5155 1839  0 25 75  0  0  0
 0  0      0 257556  16032 474608    0    0     0     0 5412 1775  1 22 77  0  0  0
 0  0      0 258228  16032 474616    0    0     0     0 4981 1869  0 22 78  0  0  0
 2  0      0 257236  16040 474628    0    0     0    16 5553 1937  1 27 72  0  0  0
 0  0      0 255060  16040 474640    0    0     0     0 5333 1855  2 24 74  0  0  0
 0  0      0 255444  16040 474648    0    0     0     0 4531 1866  1 22 77  0  0  0
 0  0      0 255476  16040 474656    0    0     0     0 1579  405  0  4 96  0  0  0
 0  0      0 255476  16040 474660    0    0     0     0 1026   65  0  1 99  0  0  0
 0  0      0 255476  16048 474652    0    0     0    16 1028   72  0  1 99  0  0  0
 0  0      0 255476  16048 474660    0    0     0     0 1026   63  0  2 98  0  0  0
 0  0      0 255476  16048 474660    0    0     0     0 1010   53  0  1 99  0  0  0
 0  0      0 255476  16056 474652    0    0     0  2064 1018   92  0  2 98  0  0  0
 0  0      0 255476  16056 474660    0    0     0     0 1026  156  0  1 99  0  0  0
 0  0      0 255476  16056 474660    0    0     0     0 1022   75  0  2 98  0  0  0
 0  0      0 255224  16080 474816    0    0     0  2136 1030  336  0  2 97  1  0  0
 0  0      0 255224  16080 474856    0    0     0     0 1017   70  0  2 98  0  0  0
